nVertex,arborescence,time
1000,19767,0.008
1000,20581,0.113
1000,20480,0.037
1000,20185,0.607
1000,20123,0.006
1000,19424,0.021
1000,19842,0.164
1000,20262,0.023
1000,20285,0.588
1000,20407,0.195
1000,20765,0.598
1000,19706,0.611
1000,20598,0.669
1000,20144,0.63
1000,20623,0.627
1000,19868,0.074
1000,21619,0.422
1000,21700,0.063
1000,19674,0.042
1000,20528,0.485
1000,21049,0.053
1000,18902,0.255
1000,18985,0.524
1000,19805,0.154
1000,19277,0.006
1000,20074,0.003
1000,20533,0.438
1000,19910,0.633
1000,20356,0.016
1000,20025,0.093
1000,20938,0.134
1000,19820,0.006
1000,19576,0.207
1000,19247,0.501
1000,20323,0.009
1000,20356,0.006
1000,19956,0.335
1000,20119,0.006
1000,21772,0.74
1000,19886,0.704
1000,19981,0.755
1000,21249,0.045
1000,20558,0.838
1000,20048,0.155
1000,19775,0.48
1000,20869,0.659
1000,19276,0.275
1000,20301,0.675
1000,19746,0.003
1000,20084,0.005
1000,21054,0.257
1000,20416,0.018
1000,18850,0.753
1000,19429,0.483
1000,19033,0.506
1000,19908,0.481
1000,22028,0.631
1000,21168,0.049
1000,20661,0.021
1000,20399,0.494
1000,19835,0.297
1000,20723,0.008
1000,19986,0.21
1000,20310,0.46
1000,21012,0.121
1000,19629,0.27
1000,20225,0.014
1000,20552,0.283
1000,19776,0.019
1000,19619,0.664
1000,19545,0.139
1000,20396,0.627
1000,20105,0.693
1000,21709,0.025
1000,20198,0.5
1000,20438,0.057
1000,20209,0.646
1000,19530,0.29
1000,20202,0.529
1000,19671,0.067
1000,21028,0.193
1000,19872,0.02
1000,20938,0.01
1000,18811,0.551
1000,20069,0.624
1000,20533,0.158
1000,19520,0.632
1000,19364,0.056
1000,21214,0.053
1000,19511,0.349
1000,20789,0.106
1000,19764,0.074
1000,19210,0.268
1000,20231,0.541
1000,20921,0.117
1000,18618,0.103
1000,20453,0.148
1000,21139,0.025
1000,20322,0.034
1000,19873,0.699
1000,21750,0.672
1000,19968,0.757
1000,20073,0.697
1000,19881,0.601
1000,19729,0.674
1000,19087,0.636
1000,19892,0.799
1000,20045,0.407
1000,19141,0.357
1000,19668,0.537
1000,20369,0.054
1000,20142,0.284
1000,21084,0.711
1000,20222,0.636
1000,19899,0.497
1000,20029,0.394
1000,20718,0.408
1000,21194,0.46
1000,20808,0.606
1000,21189,0.331
1000,19572,0.316
1000,19279,0.44
1000,20564,0.087
1000,19222,0.374
1000,20917,0.125
1000,21394,0.209
1000,21014,0.188
1000,19851,0.313
1000,18166,0.365
1000,18596,0.141
1000,20966,0.632
1000,20109,0.686
1000,21121,0.649
1000,19834,0.54
1000,21343,0.7
1000,20030,0.565
1000,20061,0.657
1000,20411,0.677
1000,21408,0.606
1000,19853,0.645
1000,20135,0.008
1000,21163,0.524
1000,19737,0.56
1000,20147,0.607
1000,20156,0.723
1000,19646,0.019
1000,20530,0.123
1000,19322,0.474
1000,20235,0.285
1000,19192,0.613
1000,19213,0.339
1000,19749,0.226
1000,20263,0.316
1000,20261,0.097
1000,20308,0.201
1000,20461,0.191
1000,21042,0.483
1000,20360,0.001
1000,19721,0.13
1000,20126,0.088
1000,18476,0.007
1000,19328,0.671
1000,20179,0.642
1000,20982,0.716
1000,19470,0.664
1000,20019,0.533
1000,19423,0.427
1000,20254,0.24
1000,19595,0.666
1000,17862,0.115
1000,20432,0.058
1000,19207,0.055
1000,20478,0.218
1000,19854,0.417
1000,20769,0.669
1000,20344,0.697
1000,20066,0.007
1000,21707,0.575
1000,18175,0.35
1000,18699,0.016
1000,20985,0.004
1000,19751,0.437
1000,20254,0.004
1000,19906,0.38
1000,20141,0.12
1000,21072,0.549
1000,20297,0.135
1000,19950,0.134
1000,21023,0.226
1000,19303,0.378
1000,19617,0.003
1000,21150,0.713
1000,19821,0.668
1000,19088,0.511
1000,19972,0.678
1000,20280,0.566
1000,20842,0.08
1000,19262,0.174
