seed,nVertex,arborescence,time
318,500,825,0.016
319,500,789,0.015
320,500,773,0.017
321,500,801,0.019
322,500,780,0.016
323,500,781,0.015
324,500,772,0.017
325,500,801,0.016
326,500,805,0.015
327,500,800,0.015
328,500,797,0.016
329,500,781,0.016
330,500,808,0.015
331,500,827,0.015
332,500,801,0.015
333,500,795,0.016
334,500,791,0.014
335,500,778,0.016
336,500,777,0.015
337,500,788,0.015
338,500,812,0.014
339,500,801,0.017
340,500,746,0.015
341,500,766,0.015
342,500,784,0.016
343,500,775,0.014
344,500,784,0.016
345,500,805,0.015
346,500,782,0.015
347,500,764,0.016
348,500,789,0.015
349,500,780,0.016
350,500,803,0.015
351,500,788,0.015
352,500,770,0.016
353,500,765,0.016
354,500,803,0.016
355,500,783,0.015
356,500,801,0.015
357,500,770,0.014
358,500,810,0.015
359,500,783,0.017
360,500,766,0.015
361,500,790,0.015
362,500,775,0.015
363,500,770,0.016
364,500,779,0.016
365,500,804,0.015
366,500,790,0.016
367,500,789,0.016
368,500,772,0.016
369,500,782,0.015
370,500,827,0.016
371,500,770,0.015
372,500,814,0.015
373,500,790,0.017
374,500,779,0.014
375,500,766,0.016
376,500,798,0.015
377,500,831,0.015
378,500,810,0.015
379,500,791,0.016
380,500,783,0.016
381,500,796,0.016
382,500,810,0.016
383,500,782,0.015
384,500,816,0.016
385,500,810,0.015
386,500,759,0.015
387,500,787,0.016
388,500,755,0.015
389,500,814,0.016
390,500,773,0.014
391,500,813,0.015
392,500,799,0.016
393,500,827,0.017
394,500,750,0.015
395,500,785,0.015
396,500,823,0.015
397,500,803,0.015
398,500,844,0.014
399,500,789,0.017
400,500,743,0.015
401,500,791,0.014
402,500,791,0.016
403,500,779,0.016
404,500,795,0.015
405,500,784,0.015
406,500,820,0.014
407,500,792,0.014
408,500,779,0.015
409,500,753,0.016
410,500,780,0.015
411,500,813,0.016
412,500,818,0.015
413,500,781,0.015
414,500,810,0.016
415,500,759,0.014
416,500,788,0.016
417,500,821,0.015
418,500,780,0.016
419,500,807,0.015
420,500,780,0.018
421,500,799,0.015
422,500,779,0.016
423,500,785,0.015
424,500,780,0.016
425,500,784,0.015
426,500,765,0.015
427,500,796,0.016
428,500,737,0.015
429,500,763,0.015
430,500,818,0.017
431,500,805,0.014
432,500,758,0.016
433,500,828,0.015
434,500,792,0.015
435,500,774,0.016
436,500,808,0.017
437,500,781,0.016
438,500,757,0.015
439,500,770,0.016
440,500,832,0.015
441,500,830,0.014
442,500,801,0.015
443,500,765,0.015
444,500,780,0.016
445,500,784,0.016
446,500,793,0.015
447,500,780,0.016
448,500,787,0.015
449,500,788,0.015
450,500,772,0.017
451,500,816,0.016
452,500,771,0.015
453,500,785,0.015
454,500,769,0.016
455,500,785,0.016
456,500,833,0.015
457,500,780,0.017
458,500,792,0.014
459,500,773,0.016
460,500,822,0.016
461,500,771,0.015
462,500,794,0.016
463,500,797,0.015
464,500,768,0.016
465,500,784,0.016
466,500,810,0.015
467,500,791,0.015
468,500,770,0.016
469,500,755,0.015
470,500,785,0.015
471,500,789,0.015
472,500,736,0.016
473,500,793,0.015
474,500,821,0.015
475,500,785,0.015
476,500,761,0.017
477,500,793,0.014
478,500,786,0.017
479,500,795,0.014
480,500,777,0.016
481,500,788,0.016
482,500,788,0.015
483,500,797,0.015
484,500,756,0.015
485,500,818,0.015
486,500,814,0.017
487,500,813,0.016
488,500,815,0.016
489,500,783,0.015
490,500,815,0.017
491,500,821,0.015
492,500,813,0.014
493,500,788,0.016
494,500,820,0.015
495,500,766,0.017
496,500,798,0.016
497,500,772,0.015
498,500,815,0.015
499,500,771,0.016
500,500,795,0.019
501,500,798,0.024
502,500,810,0.02
503,500,802,0.016
504,500,796,0.015
505,500,807,0.015
506,500,787,0.015
507,500,805,0.016
508,500,796,0.015
509,500,826,0.016
510,500,806,0.015
511,500,797,0.015
512,500,765,0.014
513,500,790,0.015
514,500,780,0.016
515,500,771,0.016
516,500,830,0.015
517,500,814,0.015
518,500,744,0.015
519,500,793,0.015
520,500,812,0.016
521,500,792,0.015
522,500,793,0.015
523,500,818,0.017
524,500,844,0.016
525,500,808,0.015
526,500,788,0.015
527,500,794,0.017
528,500,777,0.017
529,500,855,0.016
530,500,780,0.017
531,500,771,0.016
532,500,810,0.015
533,500,786,0.016
534,500,787,0.015
535,500,762,0.016
536,500,780,0.016
537,500,785,0.016
538,500,803,0.015
539,500,804,0.015
540,500,767,0.016
541,500,818,0.015
542,500,790,0.016
543,500,770,0.015
544,500,761,0.014
545,500,768,0.016
546,500,814,0.016
547,500,773,0.015
548,500,763,0.014
549,500,788,0.015
550,500,830,0.017
551,500,784,0.015
552,500,826,0.016
553,500,812,0.017
554,500,803,0.015
555,500,795,0.015
556,500,757,0.015
557,500,805,0.016
558,500,798,0.016
559,500,796,0.015
560,500,760,0.015
561,500,787,0.016
562,500,772,0.015
563,500,769,0.016
564,500,823,0.015
565,500,773,0.016
566,500,790,0.015
567,500,789,0.016
568,500,817,0.016
569,500,845,0.015
570,500,758,0.014
571,500,791,0.016
572,500,794,0.015
573,500,766,0.017
574,500,787,0.016
575,500,778,0.016
576,500,783,0.016
577,500,796,0.016
578,500,785,0.016
579,500,793,0.015
580,500,813,0.016
581,500,806,0.016
582,500,765,0.015
583,500,768,0.016
584,500,779,0.015
585,500,791,0.015
586,500,837,0.015
587,500,776,0.015
588,500,787,0.015
589,500,807,0.015
590,500,786,0.017
591,500,764,0.018
592,500,780,0.016
593,500,771,0.016
594,500,775,0.016
595,500,795,0.015
596,500,774,0.015
597,500,810,0.016
598,500,788,0.016
599,500,766,0.016
600,500,784,0.016
601,500,775,0.015
602,500,799,0.016
603,500,784,0.015
604,500,813,0.015
605,500,791,0.016
606,500,744,0.016
607,500,788,0.015
608,500,803,0.015
609,500,761,0.015
610,500,812,0.016
611,500,769,0.015
612,500,814,0.017
613,500,793,0.016
614,500,773,0.014
615,500,764,0.015
616,500,775,0.016
617,500,803,0.02
618,500,800,0.018
619,500,786,0.015
620,500,801,0.015
621,500,810,0.016
622,500,802,0.016
623,500,778,0.016
624,500,801,0.015
625,500,805,0.016
626,500,779,0.017
627,500,790,0.015
628,500,759,0.015
629,500,774,0.016
630,500,810,0.015
631,500,785,0.015
632,500,768,0.016
633,500,773,0.014
634,500,780,0.016
635,500,812,0.016
636,500,823,0.015
637,500,792,0.016
638,500,790,0.015
639,500,815,0.015
640,500,785,0.015
641,500,807,0.015
642,500,789,0.015
643,500,765,0.016
644,500,786,0.015
645,500,785,0.015
646,500,787,0.015
647,500,784,0.016
648,500,738,0.015
649,500,785,0.015
650,500,796,0.016
651,500,770,0.016
652,500,764,0.016
653,500,785,0.014
654,500,769,0.017
655,500,794,0.016
656,500,787,0.014
657,500,800,0.016
658,500,825,0.016
659,500,790,0.015
660,500,770,0.015
661,500,780,0.016
662,500,767,0.016
663,500,784,0.015
664,500,807,0.016
665,500,799,0.017
666,500,767,0.015
667,500,799,0.016
668,500,758,0.015
669,500,810,0.015
670,500,778,0.015
671,500,784,0.016
672,500,757,0.014
673,500,801,0.016
674,500,798,0.016
675,500,791,0.015
676,500,815,0.015
677,500,759,0.016
678,500,768,0.015
679,500,791,0.016
680,500,782,0.015
681,500,816,0.016
682,500,763,0.017
683,500,787,0.016
684,500,799,0.015
685,500,765,0.015
686,500,754,0.015
687,500,794,0.018
688,500,750,0.015
689,500,758,0.017
690,500,758,0.014
691,500,803,0.015
692,500,813,0.016
693,500,797,0.016
694,500,762,0.016
695,500,784,0.016
696,500,791,0.015
697,500,813,0.015
698,500,764,0.015
699,500,754,0.016
700,500,809,0.014
701,500,829,0.016
702,500,804,0.015
703,500,780,0.015
704,500,803,0.016
705,500,800,0.015
706,500,830,0.015
707,500,755,0.016
708,500,789,0.015
709,500,778,0.016
710,500,795,0.015
711,500,772,0.015
712,500,777,0.015
713,500,782,0.016
714,500,794,0.015
715,500,814,0.015
716,500,796,0.015
717,500,747,0.015
718,500,797,0.025
719,500,779,0.021
720,500,812,0.016
721,500,807,0.016
722,500,821,0.016
723,500,785,0.015
724,500,783,0.015
725,500,829,0.015
726,500,797,0.017
727,500,792,0.016
728,500,781,0.016
729,500,801,0.015
730,500,806,0.015
731,500,788,0.016
732,500,804,0.016
733,500,767,0.016
734,500,807,0.017
735,500,752,0.015
736,500,825,0.015
737,500,816,0.016
738,500,793,0.016
739,500,801,0.017
740,500,811,0.016
741,500,759,0.015
742,500,797,0.018
743,500,827,0.016
744,500,767,0.016
745,500,789,0.016
746,500,810,0.016
747,500,785,0.017
748,500,793,0.017
749,500,816,0.015
750,500,777,0.017
751,500,794,0.018
752,500,824,0.016
753,500,786,0.016
754,500,761,0.015
755,500,808,0.017
756,500,771,0.016
757,500,793,0.016
758,500,770,0.018
759,500,824,0.015
760,500,826,0.016
761,500,817,0.02
762,500,792,0.019
763,500,807,0.017
764,500,768,0.017
765,500,801,0.019
766,500,784,0.018
767,500,786,0.018
768,500,773,0.019
769,500,794,0.018
770,500,813,0.019
771,500,810,0.019
772,500,818,0.02
773,500,759,0.018
774,500,798,0.016
775,500,798,0.017
776,500,764,0.017
777,500,746,0.017
778,500,815,0.02
779,500,784,0.02
780,500,831,0.018
781,500,781,0.018
782,500,824,0.017
783,500,798,0.02
784,500,785,0.019
785,500,796,0.017
786,500,797,0.016
787,500,783,0.018
788,500,822,0.017
789,500,793,0.018
790,500,818,0.017
791,500,795,0.02
792,500,783,0.017
793,500,778,0.018
794,500,820,0.019
795,500,830,0.019
796,500,753,0.019
797,500,800,0.017
798,500,795,0.018
799,500,790,0.017
800,500,779,0.019
801,500,773,0.018
802,500,777,0.018
803,500,763,0.017
804,500,824,0.017
805,500,801,0.017
806,500,799,0.018
807,500,733,0.018
808,500,789,0.02
809,500,770,0.017
810,500,757,0.022
