seed,nVertex,arborescence,time
319,500,789,0.198
320,500,773,0.327
321,500,801,0.104
322,500,780,0.035
323,500,781,0.267
324,500,772,0.037
325,500,801,0.311
326,500,805,0.105
327,500,800,0.121
328,500,797,0.046
329,500,781,0.269
330,500,808,0.005
331,500,827,0.032
332,500,801,0.209
333,500,795,0.309
334,500,791,0.025
335,500,778,0.001
336,500,777,0.004
337,500,788,0.003
338,500,812,0.144
339,500,801,0.287
340,500,746,0.077
341,500,766,0.025
342,500,784,0.072
343,500,775,0.004
344,500,784,0.004
345,500,805,0.304
346,500,782,0.184
347,500,764,0.191
348,500,789,0.006
349,500,780,0.325
350,500,803,0.068
351,500,788,0.219
352,500,770,0.315
353,500,765,0.267
354,500,803,0.008
355,500,783,0.081
356,500,801,0.316
357,500,770,0.153
358,500,810,0.234
359,500,783,0.004
360,500,766,0.073
361,500,790,0.079
362,500,775,0.238
363,500,770,0.04
364,500,779,0.033
365,500,804,0.022
366,500,790,0.183
367,500,789,0.024
368,500,772,0.327
369,500,782,0.06
370,500,827,0.162
371,500,770,0.131
372,500,814,0.279
373,500,790,0.02
374,500,779,0.138
375,500,766,0.136
376,500,798,0.282
377,500,831,0.229
378,500,810,0.241
379,500,791,0.295
380,500,783,0.251
381,500,796,0.191
382,500,810,0.165
383,500,782,0.138
384,500,816,0.32
385,500,810,0.247
386,500,759,0.059
387,500,787,0.009
388,500,755,0.044
389,500,814,0.26
390,500,773,0.293
391,500,813,0.018
392,500,799,0.005
393,500,827,0.291
394,500,750,0.169
395,500,785,0.006
396,500,823,0.247
397,500,803,0.003
398,500,844,0.013
399,500,789,0.315
400,500,743,0.006
401,500,791,0.01
402,500,791,0.284
403,500,779,0.118
404,500,795,0.23
405,500,784,0.231
406,500,820,0.004
407,500,792,0.057
408,500,779,0.003
409,500,753,0.049
410,500,780,0.093
411,500,813,0.058
412,500,818,0.193
413,500,781,0.321
414,500,810,0.114
415,500,759,0.015
416,500,788,0
417,500,821,0.327
418,500,780,0.149
419,500,807,0.111
420,500,780,0.147
421,500,799,0.231
422,500,779,0.01
423,500,785,0.033
424,500,780,0.048
425,500,784,0.07
426,500,765,0.003
427,500,796,0.212
428,500,737,0.203
429,500,763,0.247
430,500,818,0.296
431,500,805,0.15
432,500,758,0.12
433,500,828,0.01
434,500,792,0.248
435,500,774,0.214
436,500,808,0.253
437,500,781,0.144
438,500,757,0.028
439,500,770,0.2
440,500,832,0.109
441,500,830,0.148
442,500,801,0.29
443,500,765,0.219
444,500,780,0.152
445,500,784,0.33
446,500,793,0.011
447,500,780,0.203
448,500,787,0.039
449,500,788,0.011
450,500,772,0.117
451,500,816,0.008
452,500,771,0.18
453,500,785,0.295
454,500,769,0.006
455,500,785,0.003
456,500,833,0.254
457,500,780,0.051
458,500,792,0.074
459,500,773,0.077
460,500,822,0.008
461,500,771,0.006
462,500,794,0.199
463,500,797,0.17
464,500,768,0.218
465,500,784,0.21
466,500,810,0.177
467,500,791,0.006
468,500,770,0.094
469,500,755,0.099
470,500,785,0.261
471,500,789,0.351
472,500,736,0.003
473,500,793,0.185
474,500,821,0.008
475,500,785,0.044
476,500,761,0.244
477,500,793,0.033
478,500,786,0.306
479,500,795,0.282
480,500,777,0.073
481,500,788,0.069
482,500,788,0.311
483,500,797,0.24
484,500,756,0.064
485,500,818,0.106
486,500,814,0.191
487,500,813,0.303
488,500,815,0.335
489,500,783,0.259
490,500,815,0.319
491,500,821,0.197
492,500,813,0.057
493,500,788,0.241
494,500,820,0.011
495,500,766,0.313
496,500,798,0.003
497,500,772,0.256
498,500,815,0.297
499,500,771,0
